age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,2,87218,2,14,2,3,0,4,1,0,1887,50,37,>50K
48,2,253596,0,13,0,3,4,4,0,0,0,48,37,<=50K
33,2,56150,0,13,4,2,1,4,1,2174,0,40,37,<=50K
39,2,252445,2,14,2,9,0,4,1,0,0,45,37,>50K
27,2,106562,0,13,4,9,1,4,0,0,0,50,37,>50K
37,2,123361,0,13,2,9,0,2,1,0,0,50,37,>50K
33,2,90409,0,13,4,11,1,4,1,0,0,45,37,<=50K
50,4,165001,3,15,2,9,0,4,1,99999,0,80,37,>50K
35,2,249456,0,13,4,0,3,2,0,0,0,40,37,<=50K
43,3,209547,3,15,2,9,0,4,1,0,0,25,37,>50K
33,4,48214,2,14,2,9,5,4,0,0,0,8,37,<=50K
47,4,194590,0,13,2,11,0,4,1,0,0,44,37,<=50K
28,2,302903,0,13,2,9,5,1,0,0,1485,40,37,<=50K
26,2,142226,0,13,0,12,1,4,0,0,0,40,37,<=50K
50,2,138193,0,13,0,9,2,4,0,0,0,50,37,>50K
48,1,188741,2,14,4,9,1,4,0,0,0,50,37,<=50K
45,2,355781,0,13,2,3,0,1,1,0,0,45,22,>50K
36,2,116358,2,14,2,3,0,1,1,0,0,45,17,<=50K
45,2,59287,0,13,2,3,0,4,1,0,0,40,37,<=50K
41,2,138868,0,13,4,11,1,4,0,0,0,40,37,<=50K
38,2,365907,0,13,0,0,4,4,0,0,0,40,37,<=50K
38,2,272476,0,13,2,9,5,4,0,0,0,24,37,>50K
24,2,302195,0,13,4,11,1,4,1,0,0,45,37,<=50K
32,2,183977,0,13,2,2,0,4,1,0,0,55,37,>50K
31,2,160594,0,13,2,3,0,4,1,0,1887,50,37,>50K
24,2,102258,0,13,2,11,0,4,1,0,0,40,37,<=50K
25,2,196947,0,13,4,11,3,4,0,0,0,40,37,<=50K
44,2,118059,1,16,2,9,0,4,1,0,0,55,37,>50K
27,2,95108,0,13,4,9,1,4,1,0,0,40,37,<=50K
23,2,161092,0,13,4,0,3,4,1,0,0,40,37,<=50K
43,0,157237,2,14,2,9,0,4,1,0,0,40,37,>50K
24,5,322658,0,13,4,3,1,4,0,0,0,40,37,<=50K
37,2,20308,0,13,2,9,0,4,1,0,0,65,37,>50K
39,2,205338,0,13,2,11,0,4,1,0,0,60,37,<=50K
47,0,471990,2,14,2,3,0,2,1,0,0,40,37,>50K
39,0,149347,2,14,4,9,1,4,1,0,0,40,29,>50K
39,2,85783,0,13,2,0,5,4,0,0,0,28,37,<=50K
31,2,174789,0,13,0,5,3,4,1,0,0,40,37,<=50K
46,2,176026,0,13,0,3,1,4,1,27828,0,50,37,>50K
24,2,194630,0,13,4,9,1,4,1,0,0,35,37,<=50K
27,2,203160,0,13,4,5,1,4,1,0,0,28,37,<=50K
41,2,309990,0,13,0,0,4,4,0,0,0,33,37,<=50K
41,2,177989,1,16,2,9,0,4,1,0,2051,60,37,<=50K
32,2,312403,0,13,4,3,1,4,0,0,0,40,37,<=50K
36,4,84294,0,13,2,4,0,4,1,0,0,72,37,<=50K
36,2,37778,0,13,2,3,0,4,1,0,0,40,37,<=50K
38,2,52187,0,13,2,11,0,4,1,15024,0,50,37,>50K
28,2,349751,0,13,4,3,1,2,1,2174,0,50,37,<=50K
24,1,238384,0,13,4,9,3,4,0,0,0,37,37,<=50K
30,2,113453,2,14,2,9,5,4,0,0,0,30,37,<=50K
35,2,251396,0,13,2,9,0,4,1,0,0,50,37,>50K
37,2,178100,0,13,0,3,1,4,0,0,0,40,37,>50K
45,2,177536,0,13,2,3,0,4,1,0,0,45,8,>50K
38,2,203717,0,13,2,4,0,4,1,0,0,60,37,<=50K
48,2,107231,0,13,2,9,0,4,1,0,0,40,37,<=50K
48,3,72425,0,13,2,2,0,4,1,0,0,50,37,<=50K
32,5,33945,0,13,2,4,0,4,1,0,0,40,37,>50K
39,4,199753,0,13,2,7,0,4,1,0,0,60,37,<=50K
31,5,195181,2,14,2,9,0,4,1,0,0,35,37,>50K
25,4,121285,0,13,4,11,1,4,0,0,0,40,37,<=50K
28,2,103548,0,13,2,9,0,4,1,0,0,40,37,<=50K
41,4,38434,2,14,4,11,1,4,0,0,0,30,37,<=50K
41,2,198196,2,14,2,3,0,4,1,0,0,45,37,>50K
37,4,143774,0,13,2,9,5,4,0,0,0,40,10,>50K
23,2,152328,0,13,4,9,3,4,1,13550,0,50,37,>50K
44,1,184105,0,13,2,0,0,4,1,5013,0,40,37,<=50K
49,2,132576,0,13,2,3,0,4,1,0,0,50,37,>50K
31,2,43607,0,13,6,0,4,4,1,0,0,60,37,<=50K
33,1,217304,0,13,4,0,1,2,1,0,0,40,37,<=50K
29,2,293073,3,15,2,9,0,4,1,7298,0,48,37,>50K
45,2,323798,0,13,2,3,0,4,1,7298,0,53,37,>50K
43,2,203554,0,13,2,3,0,4,1,0,1902,50,37,>50K
33,3,291333,0,13,2,3,0,4,1,7298,0,45,37,>50K
42,2,287129,0,13,0,9,1,2,1,0,0,40,37,<=50K
41,5,253250,0,13,2,3,0,4,1,7298,0,40,37,>50K
35,0,104858,2,14,2,3,0,4,1,0,0,50,37,>50K
25,0,198813,0,13,4,0,4,2,0,0,1590,40,37,<=50K
48,1,67716,2,14,2,9,0,4,1,7688,0,50,37,>50K
24,2,321435,0,13,2,4,0,4,1,0,0,35,37,>50K
41,2,191547,2,14,2,3,0,4,1,99999,0,55,37,>50K
40,2,34722,0,13,2,3,0,4,1,0,0,50,37,<=50K
43,5,125831,0,13,4,9,3,4,1,99999,0,60,37,>50K
31,2,83912,0,13,2,0,5,4,0,0,0,25,24,<=50K
50,5,137815,0,13,2,2,0,4,1,0,0,40,37,>50K
35,2,179579,2,14,2,3,0,4,1,0,1977,48,37,>50K
33,2,187618,0,13,4,9,3,4,1,0,1741,40,37,<=50K
35,2,186819,0,13,2,12,0,4,1,0,0,48,37,<=50K
29,3,218555,2,14,4,9,3,4,1,0,0,40,37,<=50K
24,2,236696,0,13,4,12,1,4,1,0,0,50,34,<=50K
24,2,311311,0,13,4,11,1,4,1,0,0,40,37,<=50K
41,5,186990,3,15,6,9,1,3,0,0,0,52,37,>50K
37,5,241633,0,13,2,0,5,2,0,0,0,45,37,>50K
41,0,46366,0,13,2,3,5,2,0,0,0,50,37,>50K
25,5,77661,0,13,4,3,1,4,0,0,2444,40,37,>50K
35,2,211494,0,13,4,3,1,4,1,0,1876,55,37,<=50K
30,0,340899,0,13,4,9,1,4,1,0,0,40,37,<=50K
36,2,102568,0,13,4,9,1,4,0,0,0,40,37,>50K
27,5,152560,3,15,2,9,0,4,1,0,0,60,37,<=50K
37,2,265144,0,13,2,3,0,4,1,0,0,50,37,>50K
33,2,290763,0,13,5,9,1,4,0,0,0,40,37,<=50K
36,2,111545,0,13,2,9,0,4,1,0,1902,40,37,>50K
45,1,211666,1,16,4,9,1,4,0,0,0,40,37,>50K
46,5,54260,0,13,2,9,0,4,1,0,0,10,37,>50K
41,5,34895,0,13,4,12,1,4,0,0,0,43,37,<=50K
25,2,143062,0,13,4,7,3,4,0,2463,0,30,37,<=50K
34,1,191957,0,13,2,2,0,2,1,0,0,45,37,>50K
24,2,109456,0,13,4,11,3,4,1,0,0,25,37,<=50K
32,2,198183,0,13,4,3,1,4,0,0,0,45,37,<=50K
46,2,185870,0,13,2,11,0,4,1,0,1902,40,37,>50K
46,2,199378,3,15,4,9,1,4,1,0,0,90,37,<=50K
42,2,26915,0,13,2,3,0,4,1,0,0,40,37,>50K
28,1,191088,0,13,0,9,1,4,0,2354,0,60,37,<=50K
50,2,148431,2,14,2,3,0,4,1,0,0,55,37,>50K
36,0,327435,2,14,0,12,1,4,0,0,0,40,37,>50K
29,2,108775,0,13,2,3,0,4,1,0,0,50,37,>50K
50,2,197826,2,14,2,12,0,4,1,0,0,40,37,<=50K
26,2,264012,0,13,4,0,1,4,1,0,0,40,37,<=50K
41,3,214247,3,15,2,9,0,4,1,0,2415,60,37,>50K
47,1,169699,2,14,2,9,0,4,1,0,0,40,37,>50K
24,2,194630,0,13,4,9,1,4,1,0,0,35,37,<=50K
40,0,134638,0,13,2,3,0,4,1,0,0,39,37,<=50K
35,0,207973,1,16,2,9,0,4,1,0,0,55,1,<=50K
31,2,301251,0,13,2,2,0,4,1,0,0,50,37,>50K
26,2,195636,0,13,4,9,1,4,0,0,0,55,37,<=50K
45,5,276157,0,13,2,9,0,4,1,0,0,40,37,>50K
31,2,142921,0,13,4,12,1,4,0,0,0,40,37,<=50K
44,2,217039,3,15,2,9,0,4,1,99999,0,60,37,>50K
31,5,73161,2,14,2,9,0,4,1,0,1740,40,37,<=50K
35,2,334291,0,13,2,3,0,4,1,0,0,45,37,<=50K
45,2,370261,0,13,0,3,1,4,0,0,0,40,37,<=50K
25,2,221757,0,13,4,3,1,4,1,0,0,50,37,<=50K
41,2,143069,1,16,2,9,0,4,1,0,0,60,37,<=50K
30,2,169002,0,13,2,12,0,4,1,0,0,40,37,>50K
45,2,167159,0,13,2,2,0,4,1,0,0,40,37,<=50K
37,2,116409,3,15,2,3,0,4,1,0,0,40,37,>50K
38,1,105161,0,13,2,9,0,4,1,0,0,30,37,<=50K
35,3,165799,0,13,2,11,0,4,1,0,0,50,37,<=50K
38,2,216319,1,16,2,9,0,1,1,0,0,40,2,>50K
34,0,400943,0,13,4,3,1,4,1,0,0,44,37,<=50K
49,2,186256,3,15,2,11,0,4,1,0,0,40,37,>50K
49,2,380922,2,14,2,3,0,4,1,15024,0,80,37,>50K
23,1,57711,0,13,4,0,3,4,0,0,0,40,10,<=50K
30,2,53373,0,13,2,0,0,4,1,0,0,40,37,>50K
31,0,165949,0,13,4,3,1,4,0,0,0,45,37,<=50K
44,4,53956,0,13,2,3,0,4,1,3137,0,40,37,<=50K
40,2,120277,0,13,2,11,0,4,1,0,0,45,37,<=50K
36,2,180278,0,13,4,9,1,2,1,0,0,40,37,<=50K
40,0,107584,0,13,2,2,0,4,1,0,0,40,37,>50K
29,2,127892,0,13,2,11,0,4,1,0,0,45,37,<=50K
36,4,294672,0,13,2,3,5,4,0,0,0,40,37,<=50K
29,0,66893,0,13,4,9,1,4,1,0,0,40,37,<=50K
28,2,192010,0,13,2,7,5,4,0,0,0,35,37,<=50K
27,2,216479,0,13,4,11,1,4,0,0,0,40,37,<=50K
24,1,134181,2,14,4,9,3,4,0,0,0,40,37,<=50K
37,3,94869,2,14,0,9,1,2,1,4787,0,40,37,>50K
25,2,629900,0,13,2,9,5,2,0,0,0,40,37,>50K
47,2,47343,2,14,2,3,0,4,1,0,0,50,37,>50K
41,5,124520,2,14,2,9,0,4,1,0,0,40,37,>50K
44,2,90582,0,13,2,2,0,4,1,0,0,50,37,>50K
43,2,315037,0,13,2,2,0,4,1,0,0,45,37,>50K
45,3,61885,0,13,2,3,0,4,1,15024,0,48,37,>50K
34,2,334744,2,14,2,0,0,4,1,0,0,50,37,>50K
26,2,60726,2,14,4,3,1,2,1,6849,0,50,37,<=50K
29,2,120126,0,13,2,3,0,4,1,0,1848,40,37,>50K
33,2,177083,0,13,4,9,1,4,0,0,0,40,1,<=50K
31,1,378426,3,15,2,9,0,4,1,0,0,99,3,<=50K
42,2,210857,0,13,2,3,0,4,1,7688,0,50,37,>50K
28,1,134771,0,13,4,9,3,4,0,0,0,55,37,<=50K
44,2,120277,3,15,2,9,0,4,1,99999,0,60,37,>50K
27,4,216178,0,13,4,2,3,4,1,0,0,35,37,<=50K
24,2,219140,0,13,4,3,1,4,1,0,0,40,37,<=50K
50,2,115284,2,14,2,2,0,4,1,0,0,40,37,>50K
44,5,204361,2,14,4,3,1,4,0,0,0,40,37,<=50K
41,2,171839,2,14,2,7,5,4,0,0,0,50,37,>50K
43,2,115562,0,13,2,3,0,4,1,99999,0,50,37,>50K
39,5,42478,0,13,0,3,1,4,1,0,0,40,37,<=50K
44,5,107503,1,16,2,9,0,4,1,5013,0,60,37,<=50K
41,1,343591,0,13,5,9,4,4,0,0,0,10,37,<=50K
44,2,238574,3,15,2,9,0,4,1,0,0,50,37,>50K
44,2,222011,2,14,0,9,4,4,0,0,0,25,37,>50K
24,2,172941,0,13,4,9,4,2,1,0,0,20,37,<=50K
42,5,60949,2,14,4,9,1,4,1,0,0,45,37,<=50K
31,2,250087,3,15,2,9,0,4,1,0,0,50,37,>50K
46,2,165346,2,14,0,3,4,4,0,0,0,8,37,<=50K
24,1,117023,0,13,4,9,3,4,0,0,0,40,37,<=50K
41,2,283174,0,13,2,2,0,4,1,99999,0,40,37,>50K
43,4,185413,0,13,2,3,0,4,1,0,1977,50,37,>50K
37,2,94706,0,13,4,9,3,0,1,27828,0,40,37,>50K
45,2,262678,0,13,2,11,0,4,1,0,0,40,37,<=50K
41,2,135056,2,14,6,9,1,4,0,10520,0,38,37,>50K
29,2,166220,0,13,4,11,3,4,0,0,0,50,37,<=50K
23,5,186634,0,13,4,0,1,4,1,0,0,16,37,<=50K
28,2,106672,0,13,4,11,3,4,1,0,0,2,37,<=50K
47,5,287547,0,13,2,9,5,4,0,0,0,40,37,<=50K
42,3,202466,0,13,2,0,5,4,0,0,0,45,37,>50K
30,2,226296,2,14,4,3,1,4,1,0,0,40,37,<=50K
28,2,184806,2,14,4,3,1,4,1,0,0,58,37,<=50K
44,4,193882,3,15,2,9,0,4,1,0,0,50,37,>50K
30,0,42900,0,13,4,9,1,4,1,0,0,40,37,<=50K
30,5,184901,0,13,2,3,0,4,1,0,0,40,37,>50K
30,2,242739,0,13,0,11,3,4,0,0,0,40,37,<=50K
42,2,154374,2,14,2,2,0,4,1,0,0,55,37,>50K
45,5,259087,2,14,0,9,1,4,0,0,0,45,37,<=50K
29,2,245402,0,13,0,12,1,4,0,0,0,40,37,<=50K
37,2,112497,0,13,3,3,4,4,1,4934,0,50,37,>50K
41,2,75171,0,13,0,3,4,4,0,0,0,40,37,<=50K
37,2,52870,0,13,2,3,0,4,1,0,0,40,37,<=50K
33,2,392812,2,14,2,3,0,4,1,0,1977,50,37,>50K
45,5,28171,2,14,2,3,0,4,1,0,0,40,37,<=50K
29,2,109494,0,13,2,9,0,4,1,5178,0,45,37,>50K
38,4,245090,0,13,2,12,0,4,1,0,0,50,37,>50K
38,2,44780,0,13,2,11,5,4,0,0,0,8,37,>50K
26,2,160307,2,14,4,9,1,4,0,0,2001,40,37,<=50K
25,2,173212,0,13,4,9,3,4,1,0,0,40,37,<=50K
25,2,86646,0,13,4,9,1,4,1,4865,0,48,37,<=50K
39,1,52401,2,14,4,9,1,4,0,0,0,50,37,<=50K
41,2,195821,1,16,2,3,5,4,0,0,1902,40,37,>50K
35,2,108140,2,14,2,3,0,4,1,0,0,50,37,>50K
34,2,108023,0,13,2,9,0,4,1,0,0,40,37,>50K
33,4,103435,3,15,2,9,0,4,1,7688,0,50,37,>50K
28,2,632733,2,14,2,11,0,4,1,0,0,60,37,>50K
44,1,157473,2,14,0,9,1,4,0,0,0,50,37,>50K
25,5,150083,0,13,4,9,1,4,1,0,0,20,37,<=50K
48,0,191013,0,13,6,9,4,0,0,0,0,40,37,<=50K
34,2,24361,3,15,4,9,1,4,0,10520,0,40,37,>50K
34,2,35595,0,13,2,11,0,4,1,0,0,40,37,<=50K
41,4,239061,2,14,6,9,1,4,0,0,0,20,37,<=50K
43,2,122473,2,14,2,3,5,2,0,0,1977,50,37,>50K
43,2,221550,0,13,5,0,4,4,0,0,0,35,37,<=50K
47,2,173938,0,13,2,2,0,4,1,0,0,40,37,<=50K
44,5,119567,2,14,5,9,4,4,0,0,0,40,37,<=50K
35,5,28738,0,13,4,0,1,4,0,4101,0,40,37,<=50K
49,2,366089,0,13,2,3,0,4,1,0,0,50,37,>50K
40,2,234397,0,13,2,10,0,2,1,0,0,40,37,>50K
28,4,132686,2,14,4,9,1,4,1,0,0,40,37,<=50K
42,0,178074,2,14,2,0,5,4,0,0,1902,40,37,>50K
32,1,130242,0,13,2,9,0,4,1,0,0,45,37,<=50K
30,2,134639,0,13,4,3,1,4,1,8614,0,45,37,>50K
47,3,308241,0,13,0,3,4,4,0,0,0,60,37,>50K
50,1,173630,2,14,2,9,0,4,1,0,0,36,37,>50K
35,2,114765,2,14,4,9,1,4,0,0,0,38,37,>50K
40,5,105936,3,15,4,9,3,4,0,0,0,40,37,<=50K
47,1,204698,2,14,2,9,0,4,1,0,0,40,37,<=50K
42,3,188738,0,13,2,3,0,4,1,7688,0,40,37,>50K
31,2,209101,0,13,2,3,0,4,1,0,0,50,37,>50K
44,1,64632,0,13,4,9,1,4,1,0,0,55,37,<=50K
39,2,560313,2,14,2,9,0,2,1,0,0,45,37,>50K
39,1,174597,0,13,2,2,0,4,1,0,0,42,37,<=50K
32,0,113838,0,13,2,9,0,4,1,0,0,40,37,>50K
49,2,28171,2,14,2,10,0,4,1,15024,0,78,37,>50K
24,2,211129,0,13,4,3,2,4,0,0,0,60,37,>50K
49,4,43479,1,16,0,9,4,4,1,0,0,63,1,>50K
47,4,39518,0,13,2,11,0,4,1,0,0,60,37,<=50K
40,5,285000,0,13,0,0,4,2,0,0,0,40,37,<=50K
29,2,196227,0,13,4,9,1,4,0,0,0,40,37,<=50K
33,5,150688,1,16,2,9,0,1,1,0,0,50,17,>50K
36,2,207824,0,13,2,9,0,4,1,7298,0,40,37,>50K
42,3,198282,0,13,2,3,0,4,1,0,0,60,37,>50K
35,2,455469,0,13,2,2,0,2,1,0,0,40,37,>50K
37,2,269323,0,13,2,9,0,4,1,0,0,55,37,>50K
48,0,71376,2,14,4,3,1,4,1,0,0,40,37,<=50K
35,2,209629,0,13,4,9,1,4,1,0,0,40,37,<=50K
22,2,121076,0,13,4,9,3,4,0,0,0,40,37,<=50K
21,2,238899,0,13,4,11,3,2,0,0,0,30,37,<=50K
26,1,192944,0,13,4,9,1,4,0,0,0,40,37,<=50K
23,1,200593,0,13,4,9,3,4,1,0,0,40,37,<=50K
32,2,364657,0,13,2,9,0,4,1,0,0,50,37,>50K
26,2,171114,0,13,4,0,1,4,0,0,0,40,37,<=50K
33,2,208855,3,15,2,9,0,4,1,0,0,60,37,>50K
39,2,352188,0,13,4,0,1,4,1,0,0,40,37,<=50K
34,2,398874,0,13,4,9,1,4,1,0,0,42,37,<=50K
47,1,103540,0,13,2,9,0,4,1,0,0,50,37,>50K
40,5,55294,0,13,2,9,0,4,1,0,0,40,37,>50K
26,5,205333,0,13,4,9,1,4,0,0,0,10,37,<=50K
40,4,170214,0,13,2,13,0,4,1,0,0,70,18,<=50K
33,2,76493,0,13,4,9,1,4,1,0,0,50,37,>50K
47,2,105449,0,13,2,11,0,4,1,0,0,65,37,>50K
37,4,200352,0,13,2,2,0,4,1,0,0,50,37,>50K
30,2,259058,2,14,0,9,4,4,1,0,1726,40,37,<=50K
23,2,197286,0,13,4,0,3,4,0,0,0,40,37,<=50K
47,2,245724,0,13,2,5,0,4,1,0,0,40,37,<=50K
23,2,140764,0,13,4,11,3,4,0,0,1590,40,37,<=50K
41,4,189941,0,13,4,3,1,4,1,0,0,40,37,<=50K
32,2,149368,0,13,2,9,0,4,1,0,0,40,37,>50K
34,2,211051,0,13,4,5,3,4,1,0,0,40,37,<=50K
46,1,183610,2,14,5,9,4,4,0,0,0,40,37,<=50K
32,3,235847,2,14,4,3,1,4,0,0,0,52,37,<=50K
44,1,32627,2,14,2,3,0,4,1,0,1887,60,37,>50K
24,2,176389,0,13,4,2,3,4,1,0,0,40,37,<=50K
42,5,392167,0,13,2,0,0,4,1,0,0,40,37,>50K
42,2,153489,0,13,2,3,0,4,1,0,0,40,37,<=50K
38,2,226894,0,13,4,3,1,2,1,13550,0,40,37,>50K
46,2,40666,0,13,0,3,2,4,1,0,0,40,37,<=50K
27,2,62082,0,13,4,11,3,3,1,0,0,38,37,<=50K
29,2,149902,1,16,4,9,1,4,0,0,0,80,37,<=50K
29,1,165218,0,13,4,9,1,4,0,0,0,55,37,<=50K
49,2,116927,2,14,0,9,1,4,1,0,0,60,37,<=50K
37,0,38948,0,13,2,9,0,4,1,0,0,40,37,<=50K
35,2,235485,0,13,2,3,0,4,1,0,0,40,37,>50K
48,5,241854,2,14,2,3,0,4,1,0,0,55,37,>50K
48,2,154430,0,13,4,3,1,4,0,0,0,35,37,<=50K
26,0,337575,0,13,4,9,1,4,1,0,0,40,37,>50K
49,2,140782,0,13,2,9,5,4,0,0,2415,3,37,>50K
30,2,34574,2,14,2,9,0,4,1,0,0,50,37,<=50K
32,4,400061,3,15,2,9,0,1,1,15024,0,40,28,>50K
40,2,179524,0,13,4,9,1,4,0,0,0,40,37,<=50K
42,5,218948,1,16,0,9,4,2,0,0,0,36,21,<=50K
40,2,136986,2,14,2,3,0,4,1,99999,0,52,37,>50K
30,2,215182,0,13,4,9,1,4,1,0,0,40,37,<=50K
32,2,79586,0,13,2,3,0,1,1,0,0,40,28,>50K
35,2,123809,0,13,2,9,5,4,0,15024,0,35,37,>50K
35,2,194404,0,13,2,9,0,4,1,0,0,40,37,>50K
33,2,236396,0,13,2,3,0,4,1,15024,0,55,37,>50K
29,5,214881,0,13,2,9,0,4,1,0,0,40,14,>50K
28,2,165218,0,13,4,0,1,4,0,0,0,55,37,<=50K
30,1,79190,0,13,4,9,1,4,0,0,0,40,37,<=50K
30,2,100734,0,13,4,12,1,4,0,0,0,40,37,<=50K
32,5,181119,0,13,5,9,1,4,0,0,0,40,37,<=50K
31,2,243678,0,13,4,3,1,4,0,0,0,40,37,<=50K
44,2,40024,0,13,2,13,0,4,1,0,0,52,37,>50K
28,2,193260,0,13,4,9,1,1,1,0,0,50,33,>50K
42,2,234633,0,13,2,9,0,4,1,0,0,50,37,>50K
45,0,110884,0,13,2,0,0,1,1,0,0,45,17,>50K
36,2,50707,0,13,0,8,4,4,0,0,0,40,37,<=50K
48,2,370119,0,13,2,11,0,4,1,0,2415,50,37,>50K
30,2,144949,0,13,4,0,3,4,1,0,2559,40,37,>50K
41,4,375526,0,13,2,0,5,4,0,0,0,40,37,>50K
31,2,291494,2,14,2,9,0,4,1,0,0,40,37,>50K
41,2,117747,0,13,0,7,4,1,0,0,0,40,38,<=50K
31,2,137076,0,13,2,10,0,4,1,0,0,40,37,<=50K
35,2,154410,0,13,2,3,0,4,1,0,1977,50,37,>50K
37,2,193106,0,13,4,11,1,4,0,0,0,30,37,<=50K
41,2,194537,0,13,0,9,1,4,0,0,0,40,37,<=50K
49,0,106207,0,13,2,0,0,4,1,0,0,40,37,<=50K
24,4,285580,0,13,4,9,3,4,1,0,0,25,37,<=50K
26,2,156848,0,13,4,12,1,4,1,0,0,40,37,<=50K
43,5,344519,1,16,2,9,5,4,0,0,0,40,37,>50K
46,1,66934,0,13,0,9,4,4,0,0,0,45,37,<=50K
42,2,47012,0,13,2,13,0,4,1,0,0,40,37,<=50K
22,3,120753,0,13,4,11,3,4,1,0,0,50,37,<=50K
44,2,84141,0,13,0,7,1,4,0,0,0,65,37,<=50K
35,2,237943,0,13,2,3,0,4,1,0,0,40,37,<=50K
36,1,126569,0,13,0,7,3,4,1,0,0,40,37,<=50K
28,2,137063,3,15,2,9,0,4,1,0,0,65,37,<=50K
24,2,112137,0,13,4,11,3,1,0,0,0,50,33,<=50K
39,2,188069,2,14,2,12,0,4,1,15024,0,50,37,>50K
41,2,150011,0,13,4,7,3,4,0,0,0,40,37,<=50K
26,2,216842,2,14,4,9,1,4,0,0,0,10,37,<=50K
34,2,112115,0,13,4,3,2,4,1,0,0,40,37,<=50K
40,2,171888,0,13,2,9,5,4,0,0,0,24,37,>50K
30,2,45427,0,13,4,2,1,4,1,0,0,70,37,<=50K
33,2,156383,0,13,2,0,5,4,0,0,0,40,37,<=50K
49,2,47403,0,13,4,0,1,4,0,0,0,40,37,>50K
